ingredient_id,name,cost,quantity,supplier_id
5757,Banana,"(13.28,)",633,54
9944,Eggplant,"(2.57,)",318,63
5223,Omega Spread,"(1.48,)",113,10
1590,Grape Seed Oil,"(11.28,)",854,18
8200,Rye,"(3.92,)",868,56
5798,Kidney Beans,"(5.39,)",364,81
8380,Tamari,"(5.02,)",310,13
4122,Yellowtail Kingfish,"(3.21,)",653,97
7831,Provolone,"(7.73,)",616,62
3759,Buckwheat Flour,"(1.19,)",704,82
9498,Soy Beans,"(3.61,)",422,83
6470,Peppermint,"(2.29,)",466,78
1044,Honey,"(18.45,)",437,18
4292,Lobster,"(1.42,)",507,50
7075,Beetroot,"(14.1,)",795,81
193,Cacao,"(13.62,)",122,54
2942,Parsley,"(17.93,)",716,83
3551,Custard Apples,"(5.9,)",989,63
2829,Iceberg lettuce,"(3.24,)",942,12
358,Goji Berry,"(9.57,)",3,63
7715,Camellia Tea Oil,"(1.93,)",905,83
2251,Turmeric,"(15.0,)",506,84
3002,Kale,"(18.07,)",177,28
1416,Borlotti Beans,"(11.75,)",896,50
5578,Purple carrot,"(10.77,)",50,18
5364,Cardamom,"(9.06,)",70,18
3367,Goji Berry,"(1.87,)",691,13
499,Bocconcini,"(1.58,)",624,63
5035,Sweet Potato,"(14.97,)",274,81
2687,Sultanas,"(1.93,)",619,84
5424,Curry Powder,"(2.95,)",841,63
2656,Bread,"(4.54,)",188,28
9891,ThymeTofu,"(7.29,)",172,94
3455,SwordfishTabasco,"(15.04,)",616,28
8962,Hot smoked salmon,"(10.77,)",917,82
5790,Arrowroot,"(8.64,)",635,50
3311,Tea,"(15.9,)",971,82
6101,Cavalo,"(10.94,)",160,18
3878,Cream,"(1.6,)",111,62
8066,Buckwheat Noodles,"(17.85,)",172,62
379,Snapper,"(1.65,)",567,78
8422,Bush Tomato,"(6.07,)",468,69
2850,Pine Nut,"(2.66,)",239,62
5298,Porcini mushrooms,"(13.44,)",533,82
3694,Nori,"(11.29,)",742,18
5375,Goat Milk,"(2.62,)",27,94
9563,Apples,"(14.97,)",723,83
2649,Nuts,"(17.07,)",337,28
6801,Zucchini,"(11.66,)",615,83
5148,Garlic,"(6.87,)",740,6
